using cuda device
current class:obj1
loss:0.512825  heatmap_loss:0.451616  contour_loss:0.061210
loss:0.293371  heatmap_loss:0.224355  contour_loss:0.069016
loss:0.293989  heatmap_loss:0.221426  contour_loss:0.072563
loss:0.131740  heatmap_loss:0.091105  contour_loss:0.040636
loss:0.316952  heatmap_loss:0.229518  contour_loss:0.087434
loss:0.262894  heatmap_loss:0.194255  contour_loss:0.068639
loss:0.159996  heatmap_loss:0.117987  contour_loss:0.042009
loss:0.142234  heatmap_loss:0.115672  contour_loss:0.026561
loss:0.183785  heatmap_loss:0.145993  contour_loss:0.037792
loss:0.204487  heatmap_loss:0.169513  contour_loss:0.034973
loss:0.206422  heatmap_loss:0.170228  contour_loss:0.036194
loss:0.182955  heatmap_loss:0.153222  contour_loss:0.029734
loss:0.141647  heatmap_loss:0.117576  contour_loss:0.024070
loss:0.192666  heatmap_loss:0.156615  contour_loss:0.036051
loss:0.154948  heatmap_loss:0.131877  contour_loss:0.023071
loss:0.228937  heatmap_loss:0.191792  contour_loss:0.037145
loss:0.141072  heatmap_loss:0.120359  contour_loss:0.020713
loss:0.231892  heatmap_loss:0.203805  contour_loss:0.028087
loss:0.157495  heatmap_loss:0.141145  contour_loss:0.016350
loss:0.110952  heatmap_loss:0.093174  contour_loss:0.017778
loss:0.121646  heatmap_loss:0.101351  contour_loss:0.020296
loss:0.175752  heatmap_loss:0.149746  contour_loss:0.026006
loss:0.104156  heatmap_loss:0.087310  contour_loss:0.016846
loss:0.103917  heatmap_loss:0.081854  contour_loss:0.022063
loss:0.142449  heatmap_loss:0.120171  contour_loss:0.022277
loss:0.138059  heatmap_loss:0.120279  contour_loss:0.017780
loss:0.122036  heatmap_loss:0.101235  contour_loss:0.020801
loss:0.106584  heatmap_loss:0.092053  contour_loss:0.014531
loss:0.149410  heatmap_loss:0.126905  contour_loss:0.022504
loss:0.134673  heatmap_loss:0.112669  contour_loss:0.022004
loss:0.249567  heatmap_loss:0.212689  contour_loss:0.036878
loss:0.228278  heatmap_loss:0.210085  contour_loss:0.018193
loss:0.267014  heatmap_loss:0.227518  contour_loss:0.039495
loss:0.091577  heatmap_loss:0.080028  contour_loss:0.011549
loss:0.169102  heatmap_loss:0.153423  contour_loss:0.015679
loss:0.161124  heatmap_loss:0.143819  contour_loss:0.017306
loss:0.125836  heatmap_loss:0.098282  contour_loss:0.027554
loss:0.155239  heatmap_loss:0.130315  contour_loss:0.024923
loss:0.164066  heatmap_loss:0.138662  contour_loss:0.025404
loss:0.215036  heatmap_loss:0.184115  contour_loss:0.030921
loss:0.231310  heatmap_loss:0.196343  contour_loss:0.034967
loss:0.109093  heatmap_loss:0.096637  contour_loss:0.012456
loss:0.165238  heatmap_loss:0.145932  contour_loss:0.019306
loss:0.130432  heatmap_loss:0.111479  contour_loss:0.018953
loss:0.103667  heatmap_loss:0.086218  contour_loss:0.017449
loss:0.166395  heatmap_loss:0.149680  contour_loss:0.016715
loss:0.096672  heatmap_loss:0.082629  contour_loss:0.014044
loss:0.161798  heatmap_loss:0.138789  contour_loss:0.023010
loss:0.152292  heatmap_loss:0.140491  contour_loss:0.011801
loss:0.169054  heatmap_loss:0.138894  contour_loss:0.030160
loss:0.196972  heatmap_loss:0.172573  contour_loss:0.024399
loss:0.187987  heatmap_loss:0.166385  contour_loss:0.021602
loss:0.333704  heatmap_loss:0.300937  contour_loss:0.032767
loss:0.193058  heatmap_loss:0.172950  contour_loss:0.020108
loss:0.249516  heatmap_loss:0.219695  contour_loss:0.029821
loss:0.211199  heatmap_loss:0.172792  contour_loss:0.038407
loss:0.191734  heatmap_loss:0.164749  contour_loss:0.026984
loss:0.212346  heatmap_loss:0.185053  contour_loss:0.027293
loss:0.251780  heatmap_loss:0.218933  contour_loss:0.032847
loss:0.181479  heatmap_loss:0.155976  contour_loss:0.025504
loss:0.133139  heatmap_loss:0.114649  contour_loss:0.018490
loss:0.254480  heatmap_loss:0.215552  contour_loss:0.038928
loss:0.095149  heatmap_loss:0.081279  contour_loss:0.013869
loss:0.188257  heatmap_loss:0.166137  contour_loss:0.022120
loss:0.115228  heatmap_loss:0.097799  contour_loss:0.017429
loss:0.122364  heatmap_loss:0.103305  contour_loss:0.019059
loss:0.216150  heatmap_loss:0.189344  contour_loss:0.026806
loss:0.218149  heatmap_loss:0.193337  contour_loss:0.024811
loss:0.116313  heatmap_loss:0.097121  contour_loss:0.019192
loss:0.097030  heatmap_loss:0.085001  contour_loss:0.012029
loss:0.132803  heatmap_loss:0.114815  contour_loss:0.017988
loss:0.218575  heatmap_loss:0.184469  contour_loss:0.034106
loss:0.190514  heatmap_loss:0.164662  contour_loss:0.025852
loss:0.132708  heatmap_loss:0.114120  contour_loss:0.018588
loss:0.213472  heatmap_loss:0.183801  contour_loss:0.029671
